indicator_code,indicator_name,unit_canonical
Y477030027,Инвестиции в жилые здания и помещения,Млн руб
Y477190005,Индексы цен (тарифов) на товары и услуги: Индексы цен производителей промышленных товаров,"Декабрь к декабрю предыдущего года, в процентах"
Y477190004,Индексы цен (тарифов) на товары и услуги: Индексы цен на приобретенное промышленными организациями зерно для основного производства,"Декабрь к декабрю предыдущего года, в процентах"
Y477190017,Средние цены на рынке жилья: Стоимость 1 кв. метра модельного жилья на первичном рынке,Тыс. руб
Y477190016,Средние цены на рынке жилья: Средние цены на первичном рынке жилья,"На конец года, рублей за квадратный метр общей площади"
Y477190015,Средние цены на рынке жилья: Средние цены на вторичном рынке жилья,"На конец года, рублей за квадратный метр общей площади"
Y477100008,Уровень безработицы населения,В процентах
Y477100014,Численность безработных,Тыс чел
Y477190008,Индексы цен на рынке жилья: Индексы цен на первичном рынке жилья,"На конец года, в процентах к концу предыдущего года"
Y477190007,Индексы цен на рынке жилья: Индексы цен на вторичном рынке жилья,"На конец года, в процентах к концу предыдущего года"
Y477190003,Индексы цен (тарифов) на товары и услуги: Индексы потребительских цен,"Декабрь к декабрю предыдущего года, в процентах"
Y477060090,Удельный вес средних предприятий в общем объеме оборота розничной торговли субъекта Российской Федерации,В процентах
Y477060089,Удельный вес средних предприятий в общем объеме оборота оптовой торговли субъекта Российской Федерации,В процентах
Y477060088,Удельный вес средних предприятий в общем объеме оборота общественного питания субъекта Российской Федерации,В процентах
Y477060087,Удельный вес малых предприятий в общем объеме оборота розничной торговли субъекта Российской Федерации,В процентах
Y477060086,Удельный вес малых предприятий в общем объеме оборота оптовой торговли субъекта Российской Федерации,В процентах
Y477060085,Удельный вес малых предприятий в общем объеме оборота общественного питания субъекта Российской Федерации,В процентах
Y477060083,Средняя численность работников средних предприятий по виду экономической деятельности транспортировка и хранение по субъектам РФ,Тыс чел
Y477060081,"Средняя численность работников средних предприятий по виду экономической деятельности торговля оптовая и розничная, ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования по субъектам РФ",Тыс чел
Y477060079,Средняя численность работников средних предприятий по виду экономической деятельности строительство по субъектам РФ,Тыс чел
Y477060077,Средняя численность работников средних предприятий по виду экономической деятельности обрабатывающие производства,Тыс чел
Y477060076,Средняя численность работников средних предприятий по виду экономической деятельности деятельность по операциям с недвижимым имуществом по субъектам РФ,Тыс чел
Y477060074,Средняя численность работников средних предприятий,Тыс чел
Y477060073,Средняя численность работников микропредприятий по виду экономической деятельности транспортировка и хранение по субъектам РФ,Тыс чел
Y477060071,"Средняя численность работников микропредприятий по виду экономической деятельности торговля оптовая и розничная, ремонт автотранспортных средств и мотоциклов по субъектам РФ",Тыс чел
Y477060069,Средняя численность работников микропредприятий по виду экономической деятельности строительство,Тыс чел
Y477060068,Средняя численность работников микропредприятий по виду экономической деятельности обрабатывающие производства,Тыс чел
Y477060067,Средняя численность работников микропредприятий по виду экономической деятельности деятельность по операциям с недвижимым имуществом по субъектам РФ,Тыс чел
Y477060065,Средняя численность работников микропредприятий,Тыс чел
Y477060064,Средняя численность работников малых предприятий по виду экономической деятельности транспортировка и хранение по субъектам РФ,Тыс чел
Y477060062,"Средняя численность работников малых предприятий по виду экономической деятельности торговля оптовая и розничная, ремонт автотранспортных средств и мотоциклов по субъектам РФ",Тыс чел
Y477060060,Средняя численность работников малых предприятий по виду экономической деятельности строительство по субъектам РФ,Тыс чел
Y477060058,Средняя численность работников малых предприятий по виду экономической деятельности обрабатывающие производства,Тыс чел
Y477060057,Средняя численность работников малых предприятий по виду экономической деятельности деятельность по операциям с недвижимым имуществом по субъектам РФ,Тыс чел
Y477060055,Средняя численность работников малых предприятий,Тыс чел
Y477060054,Сальдированный финансовый результат (прибыль минус убыток) деятельности средних предприятий,"По данным бухгалтерской отчетности, в процентах к предыдущему году"
Y477060053,Сальдированный финансовый результат (прибыль минус убыток) деятельности микропредприятий,"По данным бухгалтерской отчетности, в процентах к предыдущему году"
Y477060052,Сальдированный финансовый результат (прибыль минус убыток) деятельности малых предприятий,"По данным бухгалтерской отчетности, в процентах к предыдущему году"
Y477060046,Оборот средних предприятий по виду экономической деятельности транспортировка и хранение,Млн руб
Y477060045,"Оборот средних предприятий по виду экономической деятельности торговля розничная, кроме торговли автотранспортными средствами и мотоциклами",Млн руб
Y477060044,"Оборот средних предприятий по виду экономической деятельности торговля оптовая, кроме оптовой торговли автотранспортными средствами и мотоциклами",Млн руб
Y477060043,"Оборот средних предприятий по виду экономической деятельности торговля оптовая и розничная, ремонт автотранспортных средств и мотоциклов по субъектам РФ",Млн руб
Y477060041,Оборот средних предприятий по виду экономической деятельности торговля оптовая и розничная автотранспортными средствами и мотоциклами и их ремонт,Млн руб
Y477060040,Оборот средних предприятий по виду экономической деятельности строительство,Млн руб
Y477060039,Оборот средних предприятий по виду экономической деятельности обрабатывающие производства,Млн руб
Y477140001,Ввод в действие автомобильных дорог с твердым покрытием,Километров
Y477060038,Оборот средних предприятий по виду экономической деятельности деятельность по операциям с недвижимым имуществом,Млн руб
Y477060037,Оборот средних предприятий,Млн руб
Y477060036,Оборот розничной торговли средних предприятий,Млн руб
Y477060035,Оборот розничной торговли малых предприятий,Млн руб
Y477060033,Оборот оптовой торговли средних предприятий,Млн руб
Y477060032,Оборот оптовой торговли малых предприятий,Млн руб
Y477060031,Оборот общественного питания средних предприятий,Млн руб
Y477060030,Оборот общественного питания малых предприятий,Млн руб
Y477060029,Оборот микропредприятий по виду экономической деятельности транспортировка и хранение,Млн руб
Y477060028,"Оборот микропредприятий по виду экономической деятельности торговля розничная, кроме торговли автотранспортными средствами и мотоциклами",Млн руб
Y477060027,"Оборот микропредприятий по виду экономической деятельности торговля оптовая, кроме оптовой торговли автотранспортными средствами и мотоциклами",Млн руб
Y477060026,"Оборот микропредприятий по виду экономической деятельности торговля оптовая и розничная, ремонт автотранспортных средств и мотоциклов по субъектам РФ",Млн руб
Y477060024,Оборот микропредприятий по виду экономической деятельности торговля оптовая и розничная автотранспортными средствами и мотоциклами и их ремонт,Млн руб
Y477060023,Оборот микропредприятий по виду экономической деятельности строительство,Млн руб
Y477060022,Оборот микропредприятий по виду экономической деятельности обрабатывающие производства,Млн руб
Y477060021,Оборот микропредприятий по виду экономической деятельности деятельность по операциям с недвижимым имуществом,Млн руб
Y477060020,Оборот микропредприятий,Млн руб
Y477060019,Оборот малых предприятий по виду экономической деятельности транспортировка и хранение,Млн руб
Y477060018,"Оборот малых предприятий по виду экономической деятельности торговля розничная, кроме торговли автотранспортными средствами и мотоциклами",Млн руб
