dropped,kept,r,reason
Y477110364_lag2,Y477110364_lag1,1.0,duplicate column
Y477110125_lag2,Y477110125_lag1,1.0,duplicate column
Y477110119_lag2,Y477110119_lag1,1.0,duplicate column
Y477110116_lag2,Y477110116_lag1,1.0,duplicate column
Y477110121_lag2,Y477110121_lag1,1.0,duplicate column
Y477110038_lag2,Y477110038_lag1,1.0,duplicate column
Y477110037_lag2,Y477110037_lag1,1.0,duplicate column
Y477110036_lag2,Y477110036_lag1,1.0,duplicate column
Y477110035_lag2,Y477110035_lag1,1.0,duplicate column
Y477100023_lag2,Y477100023_lag1,0.9997,high_corr |r|=1.000; kept by higher importance/target-corr
real_log_lag2,real_log_roll3_mean,0.9994,high_corr |r|=0.999; kept by higher importance/target-corr
nom_log_lag2,nom_log_roll3_mean,0.9988,high_corr |r|=0.999; kept by higher importance/target-corr
Y477140022_yoy_lag1,Y477110108_yoy_lag1,0.9987,high_corr |r|=0.999; kept by higher importance/target-corr
real_log_roll3_mean,real_log_lag1,0.9979,high_corr |r|=0.998; kept by higher importance/target-corr
Y477110378_lag2,Y477110378_lag1,0.9973,high_corr |r|=0.997; kept by higher importance/target-corr
nom_log_lag3,nom_log_roll3_mean,0.9972,high_corr |r|=0.997; kept by higher importance/target-corr
nom_log_roll3_mean,nom_log_lag1,0.997,high_corr |r|=0.997; kept by higher importance/target-corr
Y477110301_lag1,Y477110301_lag2,0.9969,high_corr |r|=0.997; kept by higher importance/target-corr
Y477110005_lag2,Y477110005_lag1,0.9959,high_corr |r|=0.996; kept by higher importance/target-corr
nom_growth1,Y477110005_yoy_lag1,0.9956,high_corr |r|=0.996; kept by higher importance/target-corr
Y477110374_lag2,Y477110374_lag1,0.995,high_corr |r|=0.995; kept by higher importance/target-corr
real_log_lag3,real_log_lag1,0.992,high_corr |r|=0.992; kept by higher importance/target-corr
Y477110071_lag2,Y477110071_lag1,0.9901,high_corr |r|=0.990; kept by higher importance/target-corr
Y477110213_lag2,Y477110213_lag1,0.9893,high_corr |r|=0.989; kept by higher importance/target-corr
Y477110341_lag1,Y477110341_lag2,0.9888,high_corr |r|=0.989; kept by higher importance/target-corr
