object_name,cluster_km_kmeans
Алтайский край,1
Амурская область,0
Архангельская область (без автономного округа),3
Астраханская область,0
Белгородская область,0
Брянская область,0
Владимирская область,0
Волгоградская область,0
Вологодская область,0
Воронежская область,0
Еврейская автономная область,3
Забайкальский край,0
Ивановская область,0
Иркутская область,0
Кабардино-Балкарская Республика,1
Калининградская область,0
Калужская область,0
Камчатский край,2
Карачаево-Черкесская Республика,1
Кемеровская область,0
Кировская область,0
Костромская область,0
Краснодарский край,0
Красноярский край,0
Курганская область,1
Курская область,0
Ленинградская область,0
Липецкая область,0
Магаданская область,2
Москва,2
Московская область,0
Мурманская область,2
Ненецкий автономный округ,2
Нижегородская область,0
Новгородская область,3
Новосибирская область,0
Омская область,0
Оренбургская область,0
Орловская область,0
Пензенская область,0
Пермский край,0
Приморский край,0
Псковская область,0
Республика Адыгея,1
Республика Алтай,1
Республика Башкортостан,0
Республика Бурятия,1
Республика Дагестан,1
Республика Ингушетия,1
Республика Калмыкия,1
Республика Карелия,0
Республика Коми,2
Республика Крым,1
Республика Марий Эл,0
Республика Мордовия,3
Республика Саха (Якутия),2
Республика Северная Осетия — Алания,1
Республика Татарстан,0
Республика Тыва,1
Республика Хакасия,0
Ростовская область,0
Рязанская область,0
Самарская область,0
Санкт-Петербург,2
Саратовская область,0
Сахалинская область,2
Свердловская область,0
Севастополь,0
Смоленская область,0
Ставропольский край,0
Тамбовская область,0
Тверская область,0
Томская область,0
Тульская область,0
Тюменская область (без автономных округов),0
Удмуртская Республика,0
Ульяновская область,0
Хабаровский край,0
Ханты-Мансийский автономный округ — Югра,2
Челябинская область,0
Чеченская Республика,1
Чувашская Республика,0
Чукотский автономный округ,2
Ямало-Ненецкий автономный округ,2
Ярославская область,0
