object_name,year,scenario,horizon,y_pred_nominal,y_pred_real_2015,y_lo_nominal,y_hi_nominal,model,date_computed
Алтайский край,2024,baseline,1,510263.09090290783,255810.66862922194,395105.68153230665,576273.469417851,GradientBoosting,2026-05-17
Алтайский край,2025,baseline,2,525677.0801890086,247453.6742068502,366122.9430848882,624364.5823790244,GradientBoosting,2026-05-17
Алтайский край,2026,baseline,3,525171.1985717287,232127.26701221243,337212.09253729304,648355.0173229609,GradientBoosting,2026-05-17
Алтайский край,2027,baseline,4,524444.571000714,217658.30612904273,314439.99141633644,668911.2787354637,GradientBoosting,2026-05-17
Алтайский край,2028,baseline,5,521674.3428985247,203294.4513764684,294452.3263123602,684764.0083800836,GradientBoosting,2026-05-17
Амурская область,2024,baseline,1,1209394.8475665292,581882.0461966782,936456.0004238948,1365848.4940126345,GradientBoosting,2026-05-17
Амурская область,2025,baseline,2,1146909.768394777,518139.2675275436,798798.7002656737,1362223.5949233936,GradientBoosting,2026-05-17
Амурская область,2026,baseline,3,1147118.1440072053,486604.13640102017,736564.2544278182,1416185.1607033534,GradientBoosting,2026-05-17
Амурская область,2027,baseline,4,1147118.1440072053,456905.2923953241,687775.3887413852,1463109.9938344576,GradientBoosting,2026-05-17
Амурская область,2028,baseline,5,1147118.1440072053,429019.0538923231,647476.5015295517,1505738.2705099415,GradientBoosting,2026-05-17
Архангельская область (без автономного округа),2024,baseline,1,829338.497488709,429545.8588136081,642171.5192078714,936626.1062439157,GradientBoosting,2026-05-17
Архангельская область (без автономного округа),2025,baseline,2,806102.1111052884,392028.98368527624,561433.1946020424,957434.8478897068,GradientBoosting,2026-05-17
Архангельская область (без автономного округа),2026,baseline,3,796549.9331443225,363740.38517715555,511464.3903225929,983388.0522249413,GradientBoosting,2026-05-17
Архангельская область (без автономного округа),2027,baseline,4,796549.9331443225,341540.26777197706,477585.7677814133,1015972.3045351686,GradientBoosting,2026-05-17
Архангельская область (без автономного округа),2028,baseline,5,796489.2277695187,320670.64684537915,449568.2582266523,1045493.3767571186,GradientBoosting,2026-05-17
Астраханская область,2024,baseline,1,830563.9370222255,401853.7409053249,643120.3991234645,938010.0749173358,GradientBoosting,2026-05-17
Астраханская область,2025,baseline,2,799323.1493722518,363134.6985131178,556711.7875408453,949383.2464441023,GradientBoosting,2026-05-17
Астраханская область,2026,baseline,3,795616.2335074315,339390.27096542844,510864.86174337025,982235.3450184348,GradientBoosting,2026-05-17
Астраханская область,2027,baseline,4,795555.5992901446,318652.02435272554,476989.5966242998,1014704.0659209064,GradientBoosting,2026-05-17
Астраханская область,2028,baseline,5,792373.3707933995,298006.9628303734,447245.1126271103,1040090.7928031138,GradientBoosting,2026-05-17
Белгородская область,2024,baseline,1,903728.8107325395,518625.76709645655,699773.2794099455,1020639.931748586,GradientBoosting,2026-05-17
Белгородская область,2025,baseline,2,869960.6381876342,468776.65583133296,605909.3419174778,1033281.773896779,GradientBoosting,2026-05-17
Белгородская область,2026,baseline,3,837717.8494852608,423852.3095511545,537898.3112734719,1034212.2701726666,GradientBoosting,2026-05-17
Белгородская область,2027,baseline,4,805303.4991727457,382583.98286716593,482834.12935143034,1027137.1767791293,GradientBoosting,2026-05-17
Белгородская область,2028,baseline,5,795616.2335074315,354912.44848862995,449075.50719323184,1044347.4611386565,GradientBoosting,2026-05-17
Брянская область,2024,baseline,1,573091.9194151975,280683.4549587468,443755.17574642453,647230.1572596262,GradientBoosting,2026-05-17
Брянская область,2025,baseline,2,574951.133394683,264407.5505468757,400441.30508497317,682889.0369556244,GradientBoosting,2026-05-17
Брянская область,2026,baseline,3,574273.9944518879,247977.605241073,368741.00000042183,708975.311510019,GradientBoosting,2026-05-17
Брянская область,2027,baseline,4,573000.1957941912,232326.35344637744,343552.4096407242,730842.3072768123,GradientBoosting,2026-05-17
Брянская область,2028,baseline,5,572207.3920848159,217844.98310409774,322975.0936314664,751095.0403534557,GradientBoosting,2026-05-17
Владимирская область,2024,baseline,1,686143.9473754083,322451.6088662906,531293.3984122945,774907.1750840668,GradientBoosting,2026-05-17
Владимирская область,2025,baseline,2,696991.4306999298,307558.07392436784,485439.8556210419,827840.4134202901,GradientBoosting,2026-05-17
Владимирская область,2026,baseline,3,692595.7592548386,286965.6523938323,444715.41055030486,855050.5005602014,GradientBoosting,2026-05-17
Владимирская область,2027,baseline,4,692595.7592548386,269451.3168017205,415258.1301634553,883382.3329814139,GradientBoosting,2026-05-17
Владимирская область,2028,baseline,5,689299.523043108,251801.81458618975,389066.32817995886,904793.303321758,GradientBoosting,2026-05-17
Волгоградская область,2024,baseline,1,577791.1033700206,304192.64113479445,447393.83857103105,652537.2517398017,GradientBoosting,2026-05-17
Волгоградская область,2025,baseline,2,578710.0695111052,286081.1766271259,403059.32657876244,687353.652137242,GradientBoosting,2026-05-17
Волгоградская область,2026,baseline,3,578278.362523019,268420.43731394404,371312.2049206291,713918.9397933794,GradientBoosting,2026-05-17
Волгоградская область,2027,baseline,4,575526.1905704739,250838.45939192732,345066.9162848574,734064.1266901272,GradientBoosting,2026-05-17
Волгоградская область,2028,baseline,5,574802.7717069677,235233.0175106494,324440.0242117384,754501.8050643153,GradientBoosting,2026-05-17
Вологодская область,2024,baseline,1,1026513.6693764935,430430.243119265,794847.808278678,1159308.8691264547,GradientBoosting,2026-05-17
Вологодская область,2025,baseline,2,993732.1803672687,391253.1089677159,692113.6688093505,1180289.408278551,GradientBoosting,2026-05-17
Вологодская область,2026,baseline,3,981956.6195812926,363020.49715775036,630514.0320982583,1212283.5290423469,GradientBoosting,2026-05-17
Вологодская область,2027,baseline,4,981956.6195812926,340864.3165800473,588749.7579495738,1252452.1529219071,GradientBoosting,2026-05-17
Вологодская область,2028,baseline,5,981881.7843098019,320035.99926087604,554210.840418729,1288844.6051812042,GradientBoosting,2026-05-17
Воронежская область,2024,baseline,1,692684.8753865854,385970.6421009681,536358.1568515272,782294.2710728743,GradientBoosting,2026-05-17
Воронежская область,2025,baseline,2,700360.814823267,366429.80548840907,487786.5621844206,831842.3445635283,GradientBoosting,2026-05-17
Воронежская область,2026,baseline,3,699838.358790236,343808.8789821346,449365.88404068124,863991.9163522142,GradientBoosting,2026-05-17
Воронежская область,2027,baseline,4,699785.0238322188,322800.63587697287,419568.58601677156,892551.9925548781,GradientBoosting,2026-05-17
Воронежская область,2028,baseline,5,696991.4306999298,301889.19615791604,393407.93225626886,914889.9070481621,GradientBoosting,2026-05-17
Еврейская автономная область,2024,baseline,1,736789.6707192936,356562.5018611284,570509.2947313896,832104.6888198202,GradientBoosting,2026-05-17
Еврейская автономная область,2025,baseline,2,740537.8259576677,336503.6471668575,515769.0219677984,879561.9355081596,GradientBoosting,2026-05-17
Еврейская автономная область,2026,baseline,3,739904.4641315212,315695.6292528804,475092.33209867845,913455.8837125694,GradientBoosting,2026-05-17
Еврейская автономная область,2027,baseline,4,732591.5474213334,293498.05206630955,439238.3408449052,934395.584463777,GradientBoosting,2026-05-17
Еврейская автономная область,2028,baseline,5,693408.5588215061,260845.25642941412,391385.62363709754,910186.933589187,GradientBoosting,2026-05-17
Забайкальский край,2024,baseline,1,729901.8844221282,309125.646094042,565175.9576702588,824325.8631790838,GradientBoosting,2026-05-17
Забайкальский край,2025,baseline,2,693282.6001168347,275696.51498695,482856.7315980118,823435.3102702278,GradientBoosting,2026-05-17
Забайкальский край,2026,baseline,3,690108.4542992058,257684.7508237886,443118.3119254093,851979.776063955,GradientBoosting,2026-05-17
Забайкальский край,2027,baseline,4,689241.0092760973,241653.3798274093,413246.728089344,879103.4648262579,GradientBoosting,2026-05-17
Забайкальский край,2028,baseline,5,687625.0067425962,226372.5796320178,388121.16774375644,902595.2884372867,GradientBoosting,2026-05-17
Ивановская область,2024,baseline,1,514057.4000618607,219250.09336320602,398043.68349487614,580558.6298599932,GradientBoosting,2026-05-17
Ивановская область,2025,baseline,2,524444.571000714,210028.45666337624,365264.5258502481,622900.6896542975,GradientBoosting,2026-05-17
Ивановская область,2026,baseline,3,521674.3428985247,196168.11611826738,334966.7613508276,644037.9429926788,GradientBoosting,2026-05-17
Ивановская область,2027,baseline,4,509098.292199498,179755.0071512422,305238.8476034558,649337.6282164147,GradientBoosting,2026-05-17
