model,MAE,RMSE,MAPE,sMAPE,WAPE,R2,RMSLE,n
CAGR,27743.410051080158,83210.66838146062,3.957542409016229,3.9279028523683994,5.184429443038277,0.988161970821921,0.05109152673224789,340
MeanGrowth,27892.55891667136,85113.29854503273,3.971762253327235,3.9363099632743217,5.212300990506419,0.9876144234226744,0.051331229397380544,340
ARIMA,29416.983923302745,84213.56373734445,4.181417824406476,4.175086185516657,5.497171302898888,0.9878748958565262,0.05337003234169367,340
Naive,27055.86973623147,71544.84518994419,4.40957032432159,4.514631483732491,5.055948328243286,0.9912485889743702,0.05694317901634109,340
RandomForest,28876.491623206184,76002.09372180162,4.546331047391956,4.600952419265168,5.396169148181898,0.9901241951811306,0.05935699490853124,340
GradientBoosting,28320.555568933487,73004.04549062643,4.722121090627814,4.804974173400093,5.292281008875617,0.9908879679366759,0.0625552401399078,340
Ridge,33648.63573268102,100249.61955967586,5.169738768472543,5.100316294177816,6.2879428840720095,0.9828174802595515,0.06550406211747928,340
XGBoost,34435.442507982414,97522.77888627794,4.888498936560096,4.978415480309873,6.434973988191661,0.983739514032156,0.06559502712849914,340
Lasso,32853.154975465375,93785.89444353161,5.262895717329864,5.1392511723915115,6.139290867197154,0.9849617799823142,0.06643210825246854,340
ElasticNet,33785.99908600823,97009.19783934591,5.360098831809513,5.255133305311068,6.3136120650441,0.98391032721033,0.06733920880216641,340
LightGBM,40253.74105256485,105087.44806519184,6.360361156897161,6.157689632073668,7.522243297457611,0.981119083275397,0.08467787277690096,340
