feature,vif
key_rate_avg_lag1,1000000.0
usd_rub_avg_lag1,1000000.0
gdp_growth_rf_wb_lag1,1000000.0
inflation_rf_wb_lag1,1000000.0
unemployment_rf_wb_lag1,1000000.0
industrial_production_rf_rosstat_lag1,1000000.0
oil_brent_price_avg_usd_lag1,1000000.0
year_norm,1000000.0
nom_log_lag1,161.87717967943763
real_log_lag1,145.03329409706654
Y477110378_lag1,7.77566859319786
Y477140022_lag1,3.91824803735814
Y477110378_yoy_lag1,3.3040734783574175
Y477110108_lag1,2.940011481444775
Y477110341_lag2,2.5054446415525877
Y477100014_lag1,2.1740891364823725
cluster_id,2.068162253841124
Y477110374_yoy_lag1,1.9066280853705095
Y477110301_lag2,1.8919400196215712
fo_Северо-Кавказский ФО,1.6267745804679128
